document_id,title,category,content,popularity
DOC_00071,Software Metrics - A Rigorous and Practical Approach,Software Measurements & Analysis,Software Metrics - A Rigorous and Practical Approach,0.0
DOC_00072,Tập bài giảng - Các Mô Hình Ra Quyết Định,Các Mô Hình Ra Quyết Định,Tập bài giảng - Các Mô Hình Ra Quyết Định,0.0
DOC_00073,ESSENTIALS OF MARKETING RESEARCH,Điều Nghiên Tiếp Thị,ESSENTIALS OF MARKETING RESEARCH,0.0
DOC_00074,Bài Giảng Lớp ECO 302 - Kinh Tế Trong Quản Trị,Kinh Tế Trong Quản Trị,Bài Giảng Lớp ECO 302 - Kinh Tế Trong Quản Trị,0.0
DOC_00075,CORPORATE FINANCIAL ANALYSIS with MICROSOFT EXCEL,Tin Học Ứng Dụng,CORPORATE FINANCIAL ANALYSIS with MICROSOFT EXCEL,0.0
DOC_00094,BAI TAP WORD NANG CAO_1,Nguyên Lý Kế Toán 2,BAI TAP WORD NANG CAO_1,0.0
DOC_00093,on ks tin 2.pdf,Phân Tích Báo Cáo Tài Chính,tài liệu ôn tập,0.0
DOC_00091,02. Lý thuyết về hướng đối tượng.pdf,Nguyên Lý Kế Toán 1,haha,0.0
DOC_00092,THUC HANH MS WORD CB (1).pdf,Kế Toán Tài Chính 1,tài liệu ôn tập,0.0
DOC_00102,Lịch Sử Báo Chí,Lịch Sử Báo Chí (Thế Giới & Việt Nam),Tập bài giảng,0.0
DOC_00084,Ôn tập kết thúc học phần TOÁN ỨNG DỤNG CHO CNTT 2,Toán Ứng Dụng cho Công Nghệ Thông Tin 2,Đề cương ôn tập Toán ứng dụng cho CNTT 2,0.0
DOC_00103,CMU-CS 462 - Software Meassurement and Analysis - 2020S,Software Measurements & Analysis,Lecture Slides,0.0
DOC_00090,tài liệu học tập,Kế Toán Tài Chính 2,tài liệu học tập,0.0
DOC_00097,MICROSOFT WORD NÂNG CAO,Tin Học Ứng Dụng,BÀI TẬP THỰC HÀNH,0.0
DOC_00101,Bài giảng thương mại điện tử (12/2023),Tiếp Thị Căn Bản,Bài giảng,0.0
DOC_00099,THỰC HÀNH WORD 2,Tin Học Ứng Dụng,BÀI TẬP THỰC HÀNH,0.0
DOC_00100,Đề thi thử Tin học,Tin Học Ứng Dụng,"Đề thi Word, Excel, Powerpoint",0.0
DOC_00079,Câu hỏi ngắn Vật lý đại cương,Vật Lý Đại Cương 1,Câu hỏi ngắn ôn tập môn Vật lý đại cương,0.0
DOC_00081,Ôn tập môn Kinh tế chính trị 2023-2024,Kinh Tế Chính Trị Marx - Lenin,Trắc Nghiệm và Tự luận ôn tập cuối kì,0.0
DOC_00104,annotated-Assignment1_1681397.docx.pdf,Introduction to Network & Telecommunications Technology,cơ sở dữ liệu,0.0
DOC_00086,ÔntậpLSDCSVN,Phân Tích Hoạt Động Kinh Doanh,tài liệu ÔntậpLSDCSVN,0.0
DOC_00085,Ôn tập LSDCSVN,Phân Tích Báo Cáo Tài Chính,ôn tập tài liệu,0.0
DOC_00087,Customer Satisfaction and Improvement.pdf,Kế Toán Tài Chính 2,tài liệu ôn tập,0.0
DOC_00080,Ôn tập môn Chủ nghĩa xã hội khoa học 2023-2024,Chủ Nghĩa Xã Hội Khoa Học,Trắc Nghiệm và Tự luận ôn tập học kì 1,0.0
DOC_00078,English for Information Technology 2,Anh Văn Chuyên Ngành cho Sinh Viên CMU 2,Tiếng Anh chuyên ngành cho CNTT,0.0
DOC_00096,1117_apa - viet nam,Nguyên Lý Kế Toán 2,tài liệu 1117_apa - viet nam,0.0
DOC_00082,Bài tập TOÁN ỨNG DỤNG CHO CNTT 1 – CHƯƠNG 2+3,Toán Ứng Dụng cho Công Nghệ Thông Tin 1,Bài tập ôn tập chương 2 + 3 Toán ứng dụng cho CNTT 1,0.0
DOC_00083,Ôn tập kết thúc học phần TOÁN ỨNG DỤNG CHO CNTT 1,Toán Ứng Dụng cho Công Nghệ Thông Tin 1,Đề cương ôn tập Toán ứng dụng cho CNTT 1,0.0
